ville,year,tmax_moy,tmin_moy,nuits_trop,jours_35,tx_abs,tn_max
Bordeaux,1950,26.84,16.26,4,2,36.3,22.2
Bordeaux,1951,23.03,14.43,0,0,32.0,19.2
Bordeaux,1952,26.64,16.0,5,1,36.8,21.9
Bordeaux,1953,23.54,14.59,1,1,35.9,21.7
Bordeaux,1954,22.71,13.72,1,1,35.5,20.0
Bordeaux,1955,24.74,15.48,2,1,36.8,21.5
Bordeaux,1956,22.58,13.78,0,0,34.5,18.9
Bordeaux,1957,23.93,15.31,3,0,34.3,21.4
Bordeaux,1958,23.16,14.6,0,0,31.5,19.7
Bordeaux,1959,26.11,15.67,3,2,36.5,21.2
Bordeaux,1960,23.9,14.74,0,0,33.0,18.6
Bordeaux,1961,24.94,15.13,2,0,34.4,20.9
Bordeaux,1962,24.77,14.32,0,0,33.6,19.1
Bordeaux,1963,23.73,14.75,0,0,32.5,19.7
Bordeaux,1964,26.22,15.56,2,1,37.2,22.1
Bordeaux,1965,24.1,14.29,0,0,32.5,19.9
Bordeaux,1966,23.39,14.5,1,0,34.6,21.3
Bordeaux,1967,24.39,14.54,1,0,31.3,20.5
Bordeaux,1968,23.16,14.27,1,2,36.7,20.6
Bordeaux,1969,24.46,15.02,2,0,34.5,21.2
Bordeaux,1970,24.89,15.55,1,0,33.8,20.5
Bordeaux,1971,23.61,14.95,2,0,33.0,21.1
Bordeaux,1972,22.84,13.59,0,0,33.1,18.8
Bordeaux,1973,24.15,15.45,5,0,33.9,21.9
Bordeaux,1974,24.95,14.59,1,1,35.1,21.0
Bordeaux,1975,25.85,15.3,6,4,38.1,24.1
Bordeaux,1976,28.18,16.29,5,2,36.4,20.9
Bordeaux,1977,22.26,13.86,0,0,30.3,18.5
Bordeaux,1978,22.62,13.53,1,0,33.0,21.1
Bordeaux,1979,24.12,14.78,1,0,32.5,20.6
Bordeaux,1980,22.53,13.69,0,0,33.2,19.1
Bordeaux,1981,23.74,14.72,5,0,34.7,22.0
Bordeaux,1982,25.38,16.32,2,1,37.6,21.1
Bordeaux,1983,25.61,16.25,7,1,35.5,21.9
Bordeaux,1984,25.31,14.52,0,3,35.9,19.9
Bordeaux,1985,24.33,14.77,1,3,36.4,22.5
Bordeaux,1986,25.39,14.86,1,1,35.1,20.2
Bordeaux,1987,23.74,14.92,5,3,37.6,22.4
